,area,city code,use internet at home,household id,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
135,0,0,1,721774005510523,2,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,1,2,-1,1,17,0
136,0,0,1,721774005510523,2,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,1,2,-1,-1,17,0
137,0,0,2,671074002410014,2,5,39,2,1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
138,0,0,2,671074002410014,2,5,40,2,1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
139,0,0,2,067024401170104,2,1,39,2,1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
140,0,0,2,067024401170104,2,1,41,2,1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
141,41180,0,1,114491070068006,2,5,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,2,17,0
142,41180,0,1,114491070068006,2,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
143,41180,0,1,046047689100101,3,1,44,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
144,41180,0,1,046047689100101,3,1,43,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
145,41180,0,1,046047689100101,3,-1,-1,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
146,40420,0,1,185961070080108,4,1,40,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
147,40420,0,1,185961070080108,4,1,39,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
148,40420,0,1,185961070080108,4,6,37,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
149,40420,0,1,185961070080108,4,1,41,2,1,1,2,2,2,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
150,40420,0,1,817080801950106,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,2,17,0
151,40420,0,1,817080801950106,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
152,40420,0,1,817080801950106,3,4,46,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
153,40420,0,1,010710122901516,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,2,17,0
154,40420,0,1,010710122901516,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,-1,17,0
155,0,0,2,002037911102201,1,6,39,2,1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
156,0,0,1,792220100311001,6,7,35,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
157,0,0,1,792220100311001,6,1,37,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
158,0,0,1,792220100311001,6,7,36,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
159,0,0,1,792220100311001,6,-1,-1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
160,0,0,1,792220100311001,6,-1,-1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
161,0,0,1,792220100311001,6,-1,-1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
162,0,0,1,031972002110102,1,6,36,2,1,1,2,2,1,2,2,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
163,16580,0,2,621373007710534,2,7,39,2,1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,-1,-1,-1,-1,1,-1,17,0
164,16580,0,2,621373007710534,2,4,39,2,1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,-1,-1,-1,-1,1,-1,17,0
165,16580,0,1,132371070035647,1,5,40,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
166,41180,0,1,760270714201001,3,1,43,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
167,41180,0,1,760270714201001,3,1,43,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
